"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4855","Test Case-2 Check_FM_station","","Wed Sep 04 12:46:25 IST 2024","passed","Wed Sep 04 12:46:30 IST 2024","","Test Suite2:FM Station test","",""
"","8786","Test Case-3 Tune_FM_station","","Wed Sep 04 12:45:46 IST 2024","passed","Wed Sep 04 12:45:55 IST 2024","","Test Suite1:FM Station tune","",""
"","5914","Test Case-5 Closing FM","","Wed Sep 04 12:46:00 IST 2024","passed","Wed Sep 04 12:46:06 IST 2024","","Test Suite1:FM Station tune","",""
"","4930","Test Case-4 Check_FM_station","","Wed Sep 04 12:45:55 IST 2024","passed","Wed Sep 04 12:46:00 IST 2024","","Test Suite1:FM Station tune","",""
"","4","Test Case-4 Check_FM_station","","Wed Sep 04 12:46:30 IST 2024","skipped","Wed Sep 04 12:46:30 IST 2024","","Test Suite2:FM Station test","",""
"","6048","Test Case-5 Closing FM","","Wed Sep 04 12:46:30 IST 2024","passed","Wed Sep 04 12:46:36 IST 2024","","Test Suite2:FM Station test","",""
"","8346","Test Case-1 Navigate_FM_app","","Wed Sep 04 12:45:33 IST 2024","passed","Wed Sep 04 12:45:41 IST 2024","","Test Suite1:FM Station tune","",""
"","7236","Test Case-1 Navigate_FM_app","","Wed Sep 04 12:46:18 IST 2024","passed","Wed Sep 04 12:46:25 IST 2024","","Test Suite2:FM Station test","",""
"","4805","Test Case-2 Check_FM_station","","Wed Sep 04 12:45:41 IST 2024","failed","Wed Sep 04 12:45:46 IST 2024","","Test Suite1:FM Station tune","",""
"","9","Test Case-3 Tune_FM_station","","Wed Sep 04 12:46:30 IST 2024","skipped","Wed Sep 04 12:46:30 IST 2024","","Test Suite2:FM Station test","",""
